,average,changeOverTime,close,date,high,label,low,marketAverage,marketChangeOverTime,marketClose,marketHigh,marketLow,marketNotional,marketNumberOfTrades,marketOpen,marketVolume,notional,numberOfTrades,open,volume
2019-04-12 09:30:00,127.825,0.0,128.0,20190412,128.16,09:30 AM,127.59,127.874,0.0,128.04,128.19,127.48,26328963.653,1133,127.91,205898,717227.88,56,127.81,5611
2019-04-12 09:31:00,129.299,0.01153139057304912,129.1,20190412,129.83,09:31 AM,128.08,128.696,0.006428202762093957,129.15,129.85,128.02,357143523.9263,6679,128.02,2775097,5472200.72,398,128.08,42322
2019-04-12 09:32:00,128.481,0.005132016428711064,128.885,20190412,129.16,09:32 AM,128.21,128.535,0.005169150882900366,128.91,129.16,128.0,176945170.7693,6765,129.134,1376626,10389229.695,406,129.16,80862
2019-04-12 09:33:00,129.175,0.010561314296890346,129.71,20190412,129.71,09:33 AM,128.86,129.21,0.0104477845379046,129.756,129.77,128.8,153099954.5753,5440,128.91,1184894,15059065.605,401,128.91,116579
2019-04-12 09:34:00,129.456,0.012759632309798444,129.21,20190412,130.22,09:34 AM,128.99,129.584,0.01337253859267723,129.21,130.26,128.99,141736293.014,5162,129.74,1093782,11980377.525,468,129.72,92544
2019-04-12 09:35:00,129.016,0.009317426168589778,128.77,20190412,129.4,09:35 AM,128.76,129.032,0.00905578929258501,128.68,129.42,128.68,96943891.477,3525,129.23,751315,3894869.95,210,129.19,30189
2019-04-12 09:36:00,128.489,0.005194601994914934,128.58,20190412,128.82,09:36 AM,128.37,128.571,0.005450678011167265,128.6,128.89,128.33,77156115.8361,2976,128.72,600106,4638569.575,184,128.67,36101
2019-04-12 09:37:00,128.588,0.005969098376686806,128.63,20190412,128.87,09:37 AM,128.45,128.627,0.005888609099582514,128.65,128.895,128.43,56676836.7946,2512,128.6,440628,2857348.255,168,128.6,22221
2019-04-12 09:38:00,128.951,0.008808918443183966,129.05,20190412,129.12,09:38 AM,128.6,128.938,0.00832069067988796,129.065,129.15,128.6,59263104.8247,2116,128.65,459625,3555294.85,96,128.64,27571
2019-04-12 09:39:00,129.41,0.012399765304126686,129.91,20190412,129.91,09:39 AM,128.98,129.512,0.012809484336143432,129.92,129.99,128.97,82231041.7816,3253,129.044,634929,2617180.85,155,129.05,20224
2019-04-12 09:40:00,129.424,0.012509290044983405,129.56,20190412,129.93,09:40 AM,129.14,129.448,0.01230899166366902,129.631,129.94,129.1,63047803.3315,2370,129.935,487051,1697391.58,105,129.93,13115
2019-04-12 09:41:00,130.01,0.01709368276941121,130.38,20190412,130.43,09:41 AM,129.63,129.996,0.01659446017173166,130.365,130.43,129.62,74206036.5578,2892,129.64,570831,1820406.145,136,129.64,14002
2019-04-12 09:42:00,130.065,0.01752395853706235,130.41,20190412,130.57,09:42 AM,129.77,130.257,0.01863553185166656,130.36,130.62,129.76,74513448.2681,3009,130.36,572051,4003149.805,155,130.36,30778
2019-04-12 09:43:00,130.435,0.02041854097398787,130.53,20190412,130.87,09:43 AM,129.91,130.433,0.02001188670097125,130.57,130.9,129.88,69479212.3427,2835,130.343,532682,2006490.71,118,130.355,15383
2019-04-12 09:44:00,130.707,0.022546450224916807,130.69,20190412,130.9,09:44 AM,130.5,130.736,0.022381406697217533,130.69,130.9,130.49,47998594.0911,1941,130.561,367142,1057285.465,78,130.61,8089
2019-04-12 09:45:00,130.126,0.018001173479366337,130.14,20190412,130.75,09:45 AM,129.88,130.117,0.01754070413062855,130.14,130.76,129.88,68889897.9146,2889,130.73,529447,3726155.53,179,130.75,28635
2019-04-12 09:46:00,130.105,0.01783688636808126,130.02,20190412,130.325,09:46 AM,129.95,130.097,0.01738430017048042,130.05,130.325,129.94,35348871.1725,1501,130.12,271712,1301309.89,73,130.13,10002
2019-04-12 09:47:00,129.922,0.016405241541169523,129.76,20190412,130.16,09:47 AM,129.76,129.932,0.016093967499257025,129.78,130.17,129.76,43279711.3342,1744,130.051,333095,2170607.095,81,130.03,16707
2019-04-12 09:48:00,129.63,0.014120868374731019,129.35,20190412,129.88,09:48 AM,129.31,129.565,0.013223954830536329,129.34,129.885,129.25,54749551.4873,2430,129.774,422565,6228993.635,223,129.775,48052
2019-04-12 09:49:00,129.774,0.015247408566399358,129.75,20190412,129.98,09:49 AM,129.42,129.741,0.01460030967984124,129.749,129.99,129.38,39580688.2922,1477,129.39,305075,2389262.32,102,129.42,18411
2019-04-12 09:50:00,129.724,0.014856248777625555,129.43,20190412,129.98,09:50 AM,129.41,129.696,0.014248400769507506,129.43,129.99,129.36,24513748.33,1093,129.76,189009,999783.68,55,129.78,7707
2019-04-12 09:51:00,129.331,0.011781732837864158,129.08,20190412,129.66,09:51 AM,129.06,129.36,0.011620814239016676,129.1,129.68,129.06,38430424.6027,1601,129.43,297081,1750751.105,114,129.44,13537
2019-04-12 09:52:00,129.026,0.009395658126344672,129.07,20190412,129.23,09:52 AM,128.97,129.046,0.009165272064688656,129.06,129.25,128.95,57175723.5006,2003,129.11,443065,4638360.58,150,129.11,35949
2019-04-12 09:53:00,129.413,0.012423234891453222,129.44,20190412,129.52,09:53 AM,129.1,129.404,0.011964902951342737,129.42,129.59,129.09,32645959.2207,1524,129.09,252279,1716799.355,128,129.1,13266
2019-04-12 09:54:00,129.375,0.012125953451985113,129.41,20190412,129.51,09:54 AM,129.16,129.362,0.011636454635031357,129.41,129.52,129.13,18591761.5876,834,129.45,143719,977040.625,67,129.445,7552
2019-04-12 09:55:00,129.396,0.012290240563269968,129.09,20190412,129.585,09:55 AM,129.08,129.416,0.012058745327431704,129.09,129.6,129.08,34843655.0578,1484,129.42,269238,2145255.82,126,129.41,16579
